address,bookinglink,lat,lon,phonenumber,notes
"1160 W Ball Rd, Anaheim, CA 92802",https://www.marriott.com/en-us/hotels/snaao-springhill-suites-anaheim-maingate/overview/,(714) 215-4000,33.833336,-117.91319,Contact hotel front desk,
"24940 Pico Canyon Rd Stevenson Ranch, CA 91381",https://www.extendedstayamerica.com/hotels/ca/los-angeles/valencia,661-678-9733,34.42697,-118.6043,Call AB Quintana for bookings of 5 or more rooms.,
"2498 Stearns St Simi Valley, CA 93063",https://www.extendedstayamerica.com/hotels/ca/los-angeles/simi-valley,805-915-6224,34.16489,-118.3965,Please call AB Quintana 980-345-1964 for 5 or more rooms needed,
"1480 Grand Ave San Marcos, CA 92078",https://www.extendedstayamerica.com/hotels/ca/san-diego/premier-suites-san-diego-san-marcos,760-681-7527,33.135177,-117.174591,Call AB Quintana for 5 or more rooms needed at 980-345-1964,
"840 S Indian Hill Blvd, Claremont, CA 91711",,909-621-4831,47.218183,-1.551244,Please Call to book – 909-621-4831 and mention you are an evacuee for reduced rates. Pets welcome and they have some grassy space as well,
"1646 Front St, San Diego, CA 92101",https://www.hilton.com/en/hotels/sandwdt-doubletree-san-diego-downtown/,619-239-6800,32.7152,-117.16171,Our hotel is offering a 25% discount on guestroom rates to displaced residents of the LA wildfires. This discount can be accessed using the Corporate Account #2697203,
11461 Sunset Blvd Hotel,https://www.luxehotels.com/special-offers,310.476.6571,-33.715496,116.215171,https://www.luxehotels.com/special-offers,
260 Portofino Way Redondo Beach,https://www.hotelportofino.com/la-fire-relief/,800-468-4292,53.557909,-6.092354,"First Responders Rate - Promo code: FIRST. For all first responders, fire fighters & medical professioals.20% off best flexible rate, waived self parking & resort fees. Valid through March 31, 2025",
261 Portofino Way Redondo Beach,https://www.hotelportofino.com/la-fire-relief/,800 -468-4292,53.557909,-6.092354,"LA Fire Relief Rate - Promo code: PORELIEF. 20% off Best Available rate. Waived self parking, resort fees & pet fees (up to 2 animals each weighing no more than 75 bs). Valid through March 31, 2025",
17941 Von Karman Ave Irvine 92614,Booking link: RES,949-863-1999,26.734532,-97.988138,,
"5855 W Century Blvd, Los Angeles, CA 90045",www.marriott.com/laxap,1-800-228-9290,6.925616,80.485649,Use Corp/Promo Code LTS for stays of 5 nights or more to receive discount,
"9620 Airport Boulevard, Los Angeles, California, USA, 90045",www.marriott.com/laxrr,1(888) 236-2427,59.844539,22.936117,Use Corp/Promo Code LTS for stays of 5 nights or more to receive discount,
"888 S. Olive Street Los Angeles, CA 90014",https://stayinglevel.com/destinations/los-angeles/downtown-south-olive/,213-457-8773,34.279108,-119.303827,"Please go to Hotel website to book. We are currently offering WAIVED PET FEES- All units are fully furnished apartments (1,2,3 bedrooms) with full kitchens and Washer/Dryer in unit. ",
"10300 Wilshire Blvd. Los Angeles, CA 90024",https://www.beverlyhillsplazahotel.com/reservations,(310) 275-5575,32.967293,-96.762474,contact reservations manager: reservations@beverlyhillsplazahotel.com,
"12828 W. Riverside Drive Los Angeles, CA 91607",https://www.hotelmariposala.com/special-offer/,818-210-0800,-26.156041,152.716604,https://www.hotelmariposala.com/special-offer/,
"26557 Agoura Rd. Calabasas, CA 91302",https://www.goodnite.com/good-nite-inn-calabasas-malibu/,818-880-6000,34.129734,-118.70367,https://www.goodnite.com/good-nite-inn-calabasas-malibu/,
"8500 Sunset Blvd, West Hollywood, CA 90069",https://www.stayaka.com/aka-west-hollywood/apartments,310-626-0888,34.090767,-118.36669,E-mail: Wehosales@stayaka.com,
"155 N Crescent Dr, Beverly Hills, CA 90210",https://www.stayaka.com/aka-beverly-hills/apartments,310-385-1924,-32.161069,116.919574,E-mail: Bhsales@stayaka.com,
"8490 Sunset Blvd West Hollywood, CA 90069",https://www.1hotels.com/west-hollywood/offers/supporting-our-community-evacuee-offer,310-424-1600,34.090767,-118.36669,https://www.1hotels.com/west-hollywood/offers/supporting-our-community-evacuee-offer,
